"age","citations_t0","citations_t5","female","grant_success","normalised_score"
10,49,49,0,0,33.2
10,37,29,0,0,-24.2
10,24,33,0,0,-29.8
7,17,8,1,1,5.4
11,39,74,0,0,70.4
12,37,23,0,0,-6.7
11,50,40,0,1,-2.7
12,41,61,0,1,-10.7
9,27,30,0,0,18.8
7,44,52,0,1,-55.8
6,28,0,0,0,-0.6
11,39,68,0,0,14.1
10,20,41,0,1,14
9,45,78,0,0,37.8
7,30,30,0,1,-43.2
7,30,26,0,1,-24.3
5,41,43,0,1,0.5
8,51,76,0,0,-23.5
10,29,28,0,0,41.4
13,38,12,0,0,5.2
10,41,20,0,1,-1.4
11,35,56,0,1,-18
12,14,16,1,1,-10.3
5,33,9,0,0,13.5
6,26,18,0,0,42.5
13,57,56,0,0,10.4
11,36,32,0,1,-11.4
10,46,63,0,0,11.3
5,0,7,0,1,-13.4
9,15,17,0,0,4.9
14,48,59,0,1,1.1
12,57,68,0,1,-24.6
8,31,34,0,0,13.6
9,27,23,0,1,8.1
7,46,53,0,1,10.9
10,33,29,1,0,-3.9
13,1,0,1,0,1
6,20,24,0,0,31.3
7,34,10,0,0,15.8
5,28,15,1,0,11.6
16,66,106,0,0,-22.3
9,32,25,0,0,38.6
11,32,41,0,1,-15.4
10,40,26,0,1,-24.4
5,31,24,1,0,27.3
9,54,70,0,0,6.2
13,49,53,0,0,21.3
18,30,0,0,1,-37.7
9,34,67,0,0,24.7
12,21,0,1,1,-26.1
12,42,34,0,0,28.6
11,56,78,0,1,-74.4
8,51,62,0,1,-24.4
18,55,43,0,0,-16.1
11,36,58,1,0,-22.7
7,31,15,0,0,68.4
13,30,24,0,0,5.9
13,49,66,1,1,-45.4
10,32,4,0,1,8.8
11,12,12,1,1,-20.2
10,35,48,0,0,24.9
7,29,25,0,1,-6.2
12,37,24,0,1,-4.7
9,51,33,0,0,9.7
7,32,9,1,0,17.7
15,26,2,0,1,-17.8
8,16,4,0,0,4.1
9,22,0,0,0,26.4
4,45,29,0,0,27
11,60,75,1,0,11.3
11,14,24,0,1,18.5
12,44,35,0,0,13.4
9,28,17,0,1,-10.5
7,35,32,1,0,10.9
9,42,42,0,0,1.5
12,41,30,0,1,-0.6
8,37,60,0,1,-11.1
13,35,33,0,1,-33.2
7,16,11,1,0,12.1
10,14,0,0,1,-17
10,27,13,1,1,-10.9
14,37,49,0,1,-20.9
9,41,67,0,0,-5.5
8,32,35,0,0,26.5
15,33,45,0,1,-16.1
14,49,81,0,0,20.5
10,26,42,0,1,-2.3
10,26,26,0,0,7.2
13,41,70,0,0,-5.4
7,22,27,0,1,3.9
6,31,26,0,0,12.1
12,48,37,0,0,6.8
10,41,45,0,1,-22
11,18,17,0,1,-17.7
7,38,43,0,1,-7.8
8,43,42,0,0,-13.4
7,46,46,0,0,25.3
6,27,59,0,0,6
7,31,36,0,1,7.8
12,12,4,0,1,-38.3
7,29,12,0,0,13
10,56,63,0,0,28.7
9,25,14,1,1,-13.5
5,66,59,0,0,16.2
8,7,0,0,1,-35.6
11,28,24,0,0,17.4
6,8,33,1,0,12.4
14,48,63,0,0,-11.1
9,31,20,0,0,11.2
5,42,75,0,0,43.5
8,40,37,0,1,-5.2
11,34,31,0,1,-10.5
9,13,4,0,1,-7.7
11,25,15,0,0,14.9
8,40,76,0,1,-4
13,48,64,0,1,-41.2
9,22,0,0,0,21.2
9,41,51,0,1,-16.5
8,18,32,0,0,17.5
6,40,38,0,0,20.6
13,32,20,0,1,1.7
8,28,4,0,0,8
10,25,34,0,1,-6
10,16,0,0,0,33.1
13,41,69,0,0,21.6
14,59,96,0,1,-16.6
8,37,76,0,0,-0.6
11,30,62,0,1,-8.1
12,29,58,0,1,-5.2
9,40,27,1,0,-15.5
14,61,106,0,0,6.4
9,31,0,0,0,25.8
8,44,49,0,0,11.2
8,37,29,0,0,-8.4
6,23,40,0,1,-12.6
9,46,81,0,0,23.6
12,52,63,1,0,17.6
4,16,6,0,0,29.2
15,57,32,0,0,18.8
13,25,38,0,1,-4.8
7,43,20,0,0,17.4
9,21,9,1,0,18.4
5,16,17,0,0,1.7
9,20,25,0,1,-24.7
6,37,45,0,0,23.7
8,33,28,0,0,-29.1
6,20,40,0,1,-28.2
10,20,31,1,1,-5.1
8,31,14,0,1,-3.9
1,22,60,1,0,49.9
9,27,29,0,1,-9.3
11,28,6,0,1,-23.9
4,13,0,0,1,-6.3
7,20,38,0,0,-17.3
9,43,46,0,1,-3.7
7,18,28,0,0,7.1
12,37,59,0,0,14.1
7,44,53,1,0,33.1
12,31,37,0,0,12.3
2,23,2,0,1,-16.1
14,34,30,0,0,-36
9,35,41,0,0,-9.3
12,52,71,0,0,38.1
9,32,42,0,0,29.5
9,37,0,0,0,41.5
11,57,57,0,0,15.2
8,41,71,0,1,-12.7
12,22,0,0,0,4.7
7,15,0,0,0,14.5
7,37,31,0,1,-41.9
11,46,72,1,0,19.7
8,37,58,1,0,31.7
7,40,59,0,0,12.4
11,46,57,0,1,-30.8
12,42,73,0,0,-13.2
14,27,82,0,0,-29.8
8,36,12,0,1,-17.7
11,60,79,1,0,-1.8
10,27,25,0,1,-11
10,43,61,0,0,10.3
5,38,75,0,0,31.3
8,22,19,0,1,10
7,34,36,0,0,11.5
8,11,12,1,1,-8.4
8,23,10,0,1,-1.9
10,24,27,0,0,21.1
18,35,51,0,0,20.2
13,54,82,0,1,-7.8
13,24,19,1,1,-21.1
10,50,54,0,1,-17.4
7,42,56,0,0,43.3
8,45,92,0,0,20.4
5,40,2,0,0,40
6,19,36,0,1,-10.4
6,30,13,0,1,6.1
10,44,43,1,1,-7.5
10,19,0,0,1,-11.5
9,0,0,0,1,-32.5
11,47,34,1,0,28.9
14,71,120,0,0,24.5
8,49,88,0,1,-0.2
10,38,105,0,1,-20.8
15,16,0,0,1,0
7,15,26,0,0,14.1
7,30,0,0,1,-38.9
5,32,4,0,1,1.4
6,48,37,0,1,5.2
9,33,35,0,0,42.4
6,24,48,0,0,40.3
15,33,43,1,1,-11
9,29,28,1,0,-12.1
6,36,66,0,1,-4.8
8,52,22,0,1,14.5
8,42,39,0,0,33.1
10,50,58,0,0,8
9,11,7,0,1,-20.7
11,47,69,1,1,-48.8
11,40,43,0,0,17
9,34,58,0,1,-11.4
5,35,69,0,0,20.8
14,29,23,1,1,-55.6
6,29,1,0,0,56.1
9,13,7,0,1,25.8
9,47,94,0,1,-21.1
8,49,92,1,0,4.5
10,32,25,1,0,-5.2
14,28,1,0,1,-44.1
13,37,44,0,1,-37.1
10,40,45,0,0,-3.6
13,55,35,0,0,2.8
16,52,37,0,0,6.6
8,34,4,0,1,-4.2
11,36,41,0,0,38.9
7,36,55,0,0,27.2
10,18,0,0,0,21.4
7,30,0,0,0,25.3
8,44,35,0,0,14.9
4,27,40,0,1,9.3
7,37,39,0,0,25.7
8,27,6,0,1,-4.6
10,34,62,0,1,-21.7
8,20,38,0,1,-46.9
9,28,51,0,0,15.7
13,47,72,0,1,-21.3
4,47,63,0,0,50.3
9,23,6,0,1,-10.8
9,51,49,0,0,39
16,58,60,0,0,47.1
12,22,37,0,0,60.4
5,24,0,0,1,-0.2
5,45,66,1,0,17.1
11,51,95,0,0,31.4
7,54,77,0,0,11.7
12,31,15,0,0,14.8
7,54,71,0,0,-3.6
11,22,5,0,0,-3.9
3,19,0,1,0,43.8
7,20,22,0,0,34.1
8,57,96,0,1,-35.6
9,26,16,0,0,2.9
12,28,42,1,1,-14.5
4,35,23,0,0,36.1
7,21,47,0,1,-21.2
11,34,7,0,1,-22.2
6,21,56,0,0,22.2
2,27,0,0,0,56.6
16,46,39,0,0,-0.8
6,48,59,1,0,36.5
6,30,10,0,1,-10.2
10,28,30,0,1,-22.5
8,43,39,1,1,3
8,15,0,0,1,-18
7,48,52,0,0,19.8
8,3,0,0,1,-2
10,15,12,0,1,-37.5
9,26,39,0,1,-14.5
12,56,36,0,0,10.2
9,22,12,0,1,-20.3
13,51,40,1,0,-11.7
7,29,51,1,0,25.2
12,37,40,0,0,17.8
14,60,58,1,0,-0.4
8,45,65,0,1,0.7
10,20,0,0,1,-14.3
9,26,53,0,1,11.9
12,42,38,0,1,3
6,58,56,0,0,-8.3
7,32,29,0,1,-33.7
6,17,0,0,1,-28.9
8,39,59,0,1,15.1
11,27,19,0,0,10.8
8,15,0,0,0,16.5
5,19,23,1,0,12
11,51,45,0,1,-30.2
13,44,87,1,0,1.8
10,33,43,0,0,6.6
14,40,28,0,0,17.7
6,47,54,0,1,0.1
13,31,0,1,0,14.7
8,31,18,0,0,16.4
9,20,7,0,0,-15.4
10,44,62,1,0,-10
9,17,7,0,0,12.5
10,39,35,0,1,-27.4
11,24,33,0,1,-50.5
8,23,0,1,1,-8
7,30,15,0,0,-25
13,57,118,0,1,-30.6
9,42,71,1,0,8.3
10,32,29,0,1,-17.7
10,52,61,0,0,16
11,42,42,0,1,3.2
6,43,33,0,0,16.7
8,42,61,0,0,27.2
12,44,50,0,0,29.7
10,58,86,0,1,-12
11,56,94,0,0,-11.4
7,52,82,1,0,43.6
10,54,54,0,0,16.5
10,36,26,0,1,2.5
8,24,0,0,1,27.7
12,45,6,0,1,-20.7
7,37,53,1,0,26.1
5,33,27,0,0,47.4
5,33,37,1,1,-32.1
6,40,25,0,1,-30.5
6,24,28,0,1,-20.8
7,29,50,0,1,2.8
9,45,47,0,0,-11.8
10,56,75,0,1,-22.3
10,38,29,0,0,27.6
13,53,23,1,0,14.1
11,33,47,1,1,-24
11,35,37,0,1,-16.3
9,21,29,0,1,-10.6
13,55,68,0,0,7.7
10,15,0,0,1,-11.6
10,17,1,0,1,9.3
12,28,52,0,1,-25
10,31,0,1,1,-21.7
12,29,24,0,1,-20.5
9,39,54,0,0,45
16,70,108,0,1,-36.5
9,55,92,0,1,-0.4
14,35,49,1,1,3.3
8,33,41,0,0,-17.5
8,38,28,1,0,-7.5
6,37,50,0,1,6.6
8,30,25,1,1,2.1
9,44,97,0,0,34.6
9,41,7,0,0,16.8
9,26,0,1,1,-15.7
4,66,87,0,0,31
6,27,33,0,0,24.2
10,15,0,0,1,-11.1
7,26,27,0,0,14.8
8,19,18,0,1,11.7
14,52,60,0,0,4.9
15,46,55,1,1,-47.1
11,66,87,0,0,18.3
4,29,79,0,1,-19.5
10,33,48,0,0,29.2
10,14,3,0,1,-27.3
8,45,56,0,1,-9.3
13,34,63,1,0,6.3
16,53,46,0,1,-9.4
7,51,59,0,0,3.3
12,43,48,0,0,-14.8
12,15,0,0,1,-2.5
10,50,65,0,0,-0.9
13,21,29,1,1,-27.3
9,48,76,0,0,18.8
11,42,30,1,1,-15.7
4,21,37,0,1,-2.9
13,29,44,0,1,-22.7
10,26,11,0,1,-13.3
9,22,46,0,1,-20.1
6,29,38,0,0,14
9,55,110,1,1,-8.3
10,0,0,0,1,-6
7,29,72,0,1,-10.3
9,13,15,0,0,30.4
11,49,72,0,1,-30.1
10,56,21,0,0,18.4
7,20,21,0,1,4.9
7,20,23,0,0,33.2
6,49,67,0,0,8
11,40,51,0,1,-9.5
8,16,3,0,0,18.5
10,34,55,0,0,13.2
8,41,52,0,0,40.2
9,39,53,0,1,-4.6
5,35,44,0,0,20.3
9,26,12,0,1,24.1
7,24,21,0,1,-19.3
6,36,59,0,0,29.1
15,27,55,0,1,-30.8
13,46,51,0,1,-38.6
9,28,20,0,0,4.8
6,42,2,0,1,-3.9
6,40,32,0,0,16.5
8,30,49,0,1,-11
8,48,57,0,0,-7.8
6,7,27,0,1,-47.7
8,11,0,0,1,12.2
12,39,42,0,1,-7.4
7,47,69,0,0,-1.4
6,31,13,0,0,38.7
7,17,1,0,0,0.9
7,43,52,0,1,3.4
8,13,7,0,0,16.7
5,11,6,0,0,4.2
9,34,9,0,0,42.9
11,18,6,0,1,-17
11,74,110,0,1,-26.8
10,42,58,1,1,-27.8
8,44,32,0,0,-5.8
7,28,46,0,0,-5.6
10,34,28,0,0,-24.2
9,30,17,0,0,43.5
6,35,54,0,1,-15.4
7,30,53,1,1,-2.9
8,41,22,0,1,-48.7
12,32,27,0,0,-5.6
6,45,22,1,1,-17.9
9,33,1,0,0,7.8
10,36,63,0,1,-28
13,28,0,1,0,19.7
10,15,33,0,1,3.3
7,0,0,0,1,-18.3
9,40,46,0,0,34.1
9,28,1,1,0,-13.7
10,29,25,0,1,-10.6
11,37,37,0,0,18.6
10,14,0,1,1,-36.8
10,38,47,0,1,-26.8
10,50,70,0,1,8.6
12,27,31,0,0,-0.9
7,27,26,0,1,3.8
12,33,31,0,0,-0.6
11,22,39,0,1,-14.7
11,46,63,0,1,8
11,34,61,0,0,-3.8
10,46,55,0,1,-7
8,24,36,1,1,-34.9
11,28,20,1,1,-45
11,40,34,0,0,5.4
6,15,30,0,1,22.4
7,37,47,0,0,27.3
2,11,0,0,1,3.9
11,59,114,1,0,3.3
10,29,35,1,0,4.6
8,28,52,0,0,-22.5
4,52,64,1,1,-19.9
6,18,61,0,1,-6.3
12,18,18,0,0,31.5
8,30,20,0,1,-27
9,30,28,0,0,39.2
4,20,35,1,1,16.8
15,57,78,0,0,35.7
11,58,73,0,1,12.1
7,34,47,0,0,-1.8
9,14,0,0,1,-17.6
12,41,16,0,0,10.7
6,23,0,0,1,-14
15,20,13,1,0,-24.1
14,30,27,0,1,-29
10,45,32,0,0,13.3
12,32,3,0,0,-15.5
11,22,10,0,1,-32.8
9,13,27,0,1,-4
4,45,57,0,1,-5.7
3,65,86,0,1,9
15,62,73,0,0,1.8
10,13,19,0,1,-45.9
6,41,40,0,0,10.5
11,43,52,0,0,25.2
11,9,0,0,1,9.3
7,8,0,0,0,3.3
11,34,76,0,0,35.4
11,21,6,0,1,-5
12,26,41,0,0,15.8
14,24,28,0,1,-4.4
11,16,0,0,1,-24.7
13,44,11,1,1,24.7
13,47,31,0,1,-23.6
13,48,73,0,1,-16.1
7,53,58,0,1,-13.1
7,23,46,0,1,-52.1
5,25,35,1,1,15.4
11,43,48,0,0,-11.3
11,43,42,0,1,11.1
8,23,23,0,0,15.4
15,39,25,0,0,3
13,8,0,0,1,-31
11,33,29,0,0,13.4
